"","ID","dfs","fss","scenario"
"1","P01",3.22222222222222,2.88888888888889,"gamified"
"2","P02",3.66666666666667,3.88888888888889,"gamified"
"3","P03",3.44444444444444,2.66666666666667,"gamified"
"4","P04",3.55555555555556,4.55555555555556,"gamified"
"5","P05",3.77777777777778,2.88888888888889,"gamified"
"6","P06",3.77777777777778,3.44444444444444,"gamified"
"7","P07",3.44444444444444,2.77777777777778,"gamified"
"8","P08",3.66666666666667,4.55555555555556,"gamified"
"9","P09",4,2.88888888888889,"gamified"
"10","P10",3.11111111111111,3.33333333333333,"gamified"
"11","P11",3.44444444444444,3,"gamified"
"12","P12",2.77777777777778,3.11111111111111,"gamified"
"13","P13",3.77777777777778,3.44444444444444,"gamified"
"14","P14",2.77777777777778,4,"gamified"
"15","P15",2.55555555555556,4.55555555555556,"gamified"
"16","P16",3,4.44444444444444,"gamified"
"17","P17",3.44444444444444,3.88888888888889,"non.gamified"
"18","P18",3.22222222222222,3.22222222222222,"non.gamified"
"19","P19",3.77777777777778,2.55555555555556,"non.gamified"
"20","P20",3.88888888888889,3.33333333333333,"non.gamified"
"21","P21",3.88888888888889,3.22222222222222,"non.gamified"
"22","P22",3.11111111111111,3.66666666666667,"non.gamified"
"23","P23",3.88888888888889,3.22222222222222,"non.gamified"
"24","P24",3.77777777777778,4.44444444444444,"non.gamified"
"25","P25",3,3.22222222222222,"non.gamified"
"26","P26",3.55555555555556,3.55555555555556,"non.gamified"
"27","P27",3.22222222222222,3.44444444444444,"non.gamified"
"28","P28",4,4,"non.gamified"
"29","P29",4,3.88888888888889,"non.gamified"
"30","P30",3.88888888888889,3.55555555555556,"non.gamified"
"31","P31",2.55555555555556,2.66666666666667,"non.gamified"
"32","P32",4.11111111111111,4.55555555555556,"non.gamified"
